99,1,"Hey salut ! Tu veux quoi ? De l'herbe ? Pour quoi faire ? En fait, peu importe. ",Tant que c'est pas le chaman qui t'envoie pour qu'il consume tout à nouveau…,"Bon, après, moi je veux bien t'en donner… Mais je la fais pas pousser pour rien non plus. ","Tu peux me rendre un service en échange ? Tu vois, ma fourche est cassée et j'aurais vraiment besoin que tu m'en trouves une nouvelle. ","Akim pourra t'aider à m'en refaire une, va voir avec lui et je te donnerai l'herbe dont tu as besoin."
99,1,"Oh hi! Do you need something? You want some herb? For what? Actually, i don't care. ",As long as it's not the shaman sending you here just so he can… consume it all again. ,"Well, anyway, i can give you some… But it doesn't grow all by itself. Maybe you can give me a hand for something, in exchange for some herb ? ","You see, my fork is broken and i could really need you to find me a new one. ","Akim should be able to help you, go and see with him, and i'll give you all the herb you need."
80,0,T'as pu voir pour ma nouvelle fourche ? Ça va pas se faire tout seul !,,,,
80,0,Have you seen for my new fork ? It's not gonna be done by itself!,,,,
80,0,"J'ai vraiment besoin d'une nouvelle fourche. Sans ça, pas d'herbe pour toi.",,,,
80,0,"I really need this new fork. Without it, no herb for you.",,,,
80,0,J'ai peur de ne pas pouvoir te filer de l'herbe si tu me ramènes par une fourche.,,,,
80,0,I'm afraid i can't give you some herb if you don't bring me a fork.,,,,
70,1,"Oh ! Très bien ! C'est une nouvelle fourche que je vois là ? Excellent ! T'es bien brave, toi ! ","Merci beaucoup pour ton aide, et, comme promis, tu peux te servir en herbe ici tant qu'il y en a ! ","Fais-toi plaisir, mais n'en fais pas n'importe quoi !",,
70,1,Oh! Very good! Is this a new fork that i see? Excellent! You're such a brave kid! ,"Thanks for your help, and, as i promised, you can take as much herb as you need, as long as there are still a few left. ","Treat yourself, but don't do stupid things with it!",,
10,0,"Quelqu'un m'a dit que je devais te dire que tu devrais aller voir le chaman. C'est bizarre, non ?",,,,
10,0,Somebody told me that I had to tell you to go to the shaman's. Isn't it weird?,,,,
